country,Age dependency ratio (% of working-age population),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GNI per capita (current US$),Merchandise exports (current US$),Merchandise imports (current US$),Urban population (% of total)
Cameroon,80.5189088897674,47945510090.0529,3.99338950938622,1673.64888857222,1650.0,4400000000.0,9000000000.0,59.315
Central African Republic,101.451161648497,2555492085.24831,0.870251450842758,445.028195988605,470.0,137000000.0,502000000.0,43.614
Chad,97.4663343758025,13149325358.7383,4.12231962001739,719.384875157521,710.0,3700000000.0,2200000000.0,24.366
Comoros,72.5829874888347,1352380972.15662,2.70109357862837,1587.16189555687,1600.0,31000000.0,375000000.0,30.132
"Congo, Dem. Rep.",97.6096039417879,66383287002.9969,8.56086250908719,649.143987939358,660.0,16400000000.0,11600000000.0,47.444
"Congo, Rep.",76.6439196983423,15321055818.3263,1.90686426346754,2508.82339515164,2470.0,5970000000.0,3950000000.0,69.188
Cote d'Ivoire,77.0752004796412,78788828906.8634,6.53593302046529,2728.80324620071,2670.0,20263000000.0,18887000000.0,53.149
Djibouti,52.989505029401,4098530513.55777,6.67664964361434,3606.4168960124,3450.0,5002000000.0,4663000000.0,78.552
Equatorial Guinea,70.1855031611962,12116922539.4112,-5.69158346431034,7066.61659257734,5240.0,5200000000.0,3100000000.0,74.448
Eritrea,74.4850019920393,,,,,495000000.0,524000000.0,43.267
Eswatini,62.2810861957817,4597855845.04276,4.84232085252165,3797.30120946164,3860.0,1762000000.0,1925000000.0,24.79
Ethiopia,73.7736221665524,163697927593.982,6.49813464238613,1293.7780075976,1130.0,3616000000.0,17888000000.0,23.157
Gabon,66.6150389225324,20516134388.6608,2.26323208768638,8420.10205701827,7960.0,7700000000.0,6100000000.0,91.029
"Gambia, The",81.9018314364783,2339904156.79214,5.29599663840045,843.765742570282,830.0,40000000.0,784000000.0,64.472
Ghana,67.3712658991613,76370394412.4163,2.94478583082221,2238.15802077213,2340.0,15868000000.0,13715000000.0,59.238
Guinea,80.2471731058955,23612295818.0961,7.06196002940651,1663.93780748118,1360.0,9636000000.0,4696000000.0,38.085
Guinea-Bissau,73.8363183757921,1966461400.35833,4.24828229733396,914.275153804104,900.0,233000000.0,588000000.0,45.466
Kenya,67.0220247267567,107440575838.048,5.42581615130304,1949.89896909713,2110.0,7193000000.0,18591000000.0,29.52
Lesotho,61.4352615171458,2046039024.45854,0.898149777798736,878.008505473734,1160.0,794000000.0,1772000000.0,30.415
Liberia,76.3660255045677,4332000000.0,4.71102538380681,799.501400511629,730.0,1100000000.0,1700000000.0,53.567
Madagascar,72.8212158808862,16031702914.9195,3.9853710126696,528.650154757007,530.0,3213000000.0,4750000000.0,40.556
Malawi,80.4622222758668,14084341062.3675,1.53964171231864,672.869702222595,640.0,880000000.0,1560000000.0,18.28
Mali,97.2710539030222,20904898296.2501,5.23657752778519,897.448670290571,860.0,5321000000.0,8364000000.0,46.189
Mauritania,79.7355224427824,10452577062.7581,3.38355519096352,2149.41408725335,2150.0,4017000000.0,5242000000.0,57.699
Mauritius,41.47714842501,14397127281.3829,6.95228798595431,11416.858992993,11530.0,2300000000.0,6284000000.0,40.867
Mozambique,84.7149775270423,20624597846.5495,5.00002417303148,608.442707550256,530.0,8276000000.0,10098000000.0,38.753
Namibia,67.0988448868179,12351024843.7467,4.1599857377939,4742.78382677745,4870.0,5930000000.0,7090000000.0,54.886
Niger,104.731613240687,16819170420.5653,2.49999999999999,618.28722904313,600.0,1097000000.0,2287000000.0,17.054
Nigeria,84.3256188151613,362814951696.073,2.86021499108364,1621.12351497744,1930.0,57890000000.0,45946000000.0,54.283
Rwanda,70.464846745693,14097768647.6695,8.24128696506683,1000.21892281433,980.0,2479000000.0,3897000000.0,17.892
Sao Tome and Principe,74.5430455599386,603240748.954207,-0.4744429516048,2601.79054652115,2480.0,20000000.0,186000000.0,76.401
Senegal,79.4455191411343,31013986429.1861,3.69999636052071,1745.97206754147,1660.0,5313000000.0,11064000000.0,49.579
Seychelles,45.943607739923,2141450171.13932,3.16171435490999,17879.2396545075,16940.0,541000000.0,1431000000.0,58.82
Sierra Leone,71.5078348274512,3809832236.95959,3.43082135607435,433.37417433006,560.0,1270000000.0,2154000000.0,44.3
Somalia,98.4401287192669,11679800110.1523,3.1029619961507,643.750028806778,610.0,,,47.92
South Africa,51.8627199809523,377781600985.873,0.601662303103254,6253.16161272014,6750.0,110855000000.0,130747000000.0,68.819
South Sudan,84.8602353098079,,,,,833000000.0,1184000000.0,21.195
Tanzania,85.9209860485043,79158286333.524,5.18805639154843,1211.05859375,1210.0,7292000000.0,13817000000.0,37.409
Togo,74.881975225083,9171261835.06264,6.40792215636242,1012.9738726321,1030.0,1434000000.0,3204000000.0,44.49
Uganda,85.6891031876525,49272882213.623,5.23187410562045,1014.21397773156,980.0,6162000000.0,12159000000.0,26.771
Zambia,79.2677311953633,28162630953.9285,5.83247413510912,1369.12936484937,1320.0,9652000000.0,9324000000.0,46.335
Zimbabwe,77.2234671928758,26538273498.8461,4.95578170349711,1592.41657368542,1740.0,7225000000.0,9214000000.0,32.517
Algeria,58.8752637094055,239899491127.742,4.10000000000679,5260.20624980797,4960.0,51799000000.0,41849000000.0,75.268
"Egypt, Arab Rep.",60.0846230130523,395926075163.006,3.75900541919032,3512.58006529798,3900.0,39853000000.0,78895000000.0,43.1
Libya,48.539519141176,50491722445.7773,-1.67258994589184,7329.97654106843,7570.0,35270000000.0,20523000000.0,81.606
Morocco,52.2361978876769,141109373209.414,3.17794683511849,3672.1123046875,3700.0,41642000000.0,68632000000.0,65.121
Sudan,79.4610008192111,109327023588.732,-12.0467791968043,2272.48559570313,990.0,4780000000.0,7100000000.0,36.342
Tunisia,51.510824596706,48529595416.6533,0.423648407741425,3895.38663874079,3770.0,19985000000.0,25485000000.0,70.544
